subjID	version	block	trial_index	time_elapsed	trial_type	internal_node_id	stim	key_press	rt	outcome	valued	devalued	cor_dir	isdevalued	chose	score
debugshnTF	1.0	1.ID_5	131	541444	html-keyboard-response	0.0-131.0	coconut	39	364	pear					Right	0
debugshnTF	1.0	1.ID_5	133	543765	html-keyboard-response	0.0-133.0	grape	37	317	pineapple					Left	1
debugshnTF	1.0	1.ID_5	135	546500	html-keyboard-response	0.0-135.0	coconut	39	732	pear					Right	0
debugshnTF	1.0	1.ID_5	137	548901	html-keyboard-response	0.0-137.0	grape	37	397	pineapple					Left	1
debugshnTF	1.0	1.ID_5	139	551635	html-keyboard-response	0.0-139.0	cherries	39	731	orange					Right	1
debugshnTF	1.0	1.ID_5	141	554372	html-keyboard-response	0.0-141.0	kiwi	39	732	strawberry					Right	1
debugshnTF	1.0	1.ID_5	143	557045	html-keyboard-response	0.0-143.0	bananas	39	669	melon					Right	0
debugshnTF	1.0	1.ID_6	145	559781	html-keyboard-response	0.0-145.0	kiwi	39	732	strawberry					Right	1
debugshnTF	1.0	1.ID_6	147	562468	html-keyboard-response	0.0-147.0	grape	39	684	pineapple					Right	0
debugshnTF	1.0	1.ID_6	149	565124	html-keyboard-response	0.0-149.0	grape	37	653	pineapple					Left	1
debugshnTF	1.0	1.ID_6	151	568501	html-keyboard-response	0.0-151.0	coconut	39	1374	pear					Right	0
debugshnTF	1.0	1.ID_6	153	571219	html-keyboard-response	0.0-153.0	cherries	39	715	orange					Right	1
debugshnTF	1.0	1.ID_6	155	574084	html-keyboard-response	0.0-155.0	apple	37	862	lemon					Left	0
debugshnTF	1.0	1.ID_6	157	576964	html-keyboard-response	0.0-157.0	bananas	37	875	melon					Left	1
debugshnTF	1.0	1.ID_6	159	580708	html-keyboard-response	0.0-159.0	cherries	39	1740	orange					Right	1
debugshnTF	1.0	1.ID_6	161	583427	html-keyboard-response	0.0-161.0	kiwi	39	717	strawberry					Right	1
debugshnTF	1.0	1.ID_6	163	586009	html-keyboard-response	0.0-163.0	apple	39	577	lemon					Right	1
debugshnTF	1.0	1.ID_6	165	588549	html-keyboard-response	0.0-165.0	bananas	37	536	melon					Left	1
debugshnTF	1.0	1.ID_6	167	591060	html-keyboard-response	0.0-167.0	coconut	39	507	pear					Right	0
debugshnTF	1.0	1.ID_7	169	593444	html-keyboard-response	0.0-169.0	coconut	37	380	pear					Left	1
debugshnTF	1.0	1.ID_7	171	595766	html-keyboard-response	0.0-171.0	grape	39	317	pineapple					Right	0
debugshnTF	1.0	1.ID_7	173	598260	html-keyboard-response	0.0-173.0	kiwi	37	490	strawberry					Left	0
debugshnTF	1.0	1.ID_7	175	602052	html-keyboard-response	0.0-175.0	grape	37	1789	pineapple					Left	1
debugshnTF	1.0	1.ID_7	177	604757	html-keyboard-response	0.0-177.0	kiwi	39	701	strawberry					Right	1
debugshnTF	1.0	1.ID_7	179	607798	html-keyboard-response	0.0-179.0	apple	37	1037	lemon					Left	0
debugshnTF	1.0	1.ID_7	181	611814	html-keyboard-response	0.0-181.0	bananas	37	2012	melon					Left	1
debugshnTF	1.0	1.ID_7	183	614435	html-keyboard-response	0.0-183.0	bananas	37	619	melon					Left	1
debugshnTF	1.0	1.ID_7	185	617878	html-keyboard-response	0.0-185.0	coconut	37	1438	pear					Left	1
debugshnTF	1.0	1.ID_7	187	620676	html-keyboard-response	0.0-187.0	apple	37	796	lemon					Left	0
debugshnTF	1.0	1.ID_7	189	623460	html-keyboard-response	0.0-189.0	cherries	39	780	orange					Right	1
debugshnTF	1.0	1.ID_7	191	626531	html-keyboard-response	0.0-191.0	cherries	39	1068	orange					Right	1
debugshnTF	1.0	2.OD	194	633124	html-keyboard-response	0.0-194.0		39	3172		lemon	melon			Right	-1
debugshnTF	1.0	2.OD	195	636180	html-keyboard-response	0.0-195.0		39	2054		orange	melon			Right	1
debugshnTF	1.0	2.OD	196	638277	html-keyboard-response	0.0-196.0		37	1096		pear	orange			Left	1
debugshnTF	1.0	2.OD	197	641956	html-keyboard-response	0.0-197.0		37	2678		pear	lemon			Left	1
debugshnTF	1.0	2.OD	198	644303	html-keyboard-response	0.0-198.0		39	1345		strawberry	pineapple			Right	1
debugshnTF	1.0	2.OD	199	645781	html-keyboard-response	0.0-199.0		39	476		strawberry	melon			Right	1
debugshnTF	1.0	2.OD	200	647333	html-keyboard-response	0.0-200.0		39	551		strawberry	pear			Right	1
debugshnTF	1.0	2.OD	201	649236	html-keyboard-response	0.0-201.0		37	901		pineapple	lemon			Left	1
debugshnTF	1.0	2.OD	202	651124	html-keyboard-response	0.0-202.0		39	887		orange	pineapple			Right	1
debugshnTF	1.0	3.SOA_0	206	664951	html-keyboard-response	0.0-206.0	apple			lemon					None	0
debugshnTF	1.0	3.SOA_0	207	665954	html-keyboard-response	0.0-207.0	kiwi			strawberry					None	0
